"Assembly Accession","Organism Name","Organism Common Name","Organism Taxonomic ID","class","order","family","genus","Assembly Release Date","Assembly Sequencing Tech","Assembly Stats Contig N50"
"GCF_902148845.1","Salarias fasciatus","jewelled blenny",181472,"Actinopteri","Blenniiformes","Blenniidae","Salarias","2019-07-03",NA,2597836
"GCF_905237065.1","Salmo salar","Atlantic salmon",8030,"Actinopteri","Salmoniformes","Salmonidae","Salmo","2021-04-21",NA,28058890
"GCF_901001165.1","Salmo trutta","river trout",8032,"Actinopteri","Salmoniformes","Salmonidae","Salmo","2019-06-02",NA,1703178
"GCA_901001165.2","Salmo trutta","river trout",8032,"Actinopteri","Salmoniformes","Salmonidae","Salmo","2021-04-24",NA,1703178
"GCF_029448725.1","Salvelinus fontinalis","brook trout",8038,"Actinopteri","Salmoniformes","Salmonidae","Salvelinus","2023-03-28","PacBio Sequel",1231776
"GCA_003604335.1","Sardina pilchardus","sardine",27697,"Actinopteri","Clupeiformes","Clupeidae","Sardina","2018-10-01","Illumina HiSeq",10878
"GCA_030264415.1","Sardinella fimbriata","fringescale sardinella",96887,"Actinopteri","Clupeiformes","Clupeidae","Sardinella","2023-06-13","Illumina",1695
"GCA_030264355.1","Sardinella lemuru","Bali sardinella",392307,"Actinopteri","Clupeiformes","Clupeidae","Sardinella","2023-06-13","Illumina",1407
"GCA_027497455.1","Sardinella longiceps","Indian oil sardine",96888,"Actinopteri","Clupeiformes","Clupeidae","Sardinella","2022-12-29","Oxford Nanopore PromethION; Illumina HiSeq",153497
"GCA_000787155.1","Scartelaos histophorus","walking goby",166764,"Actinopteri","Gobiiformes","Gobiidae","Scartelaos","2014-12-02","Hiseq 2000",8806
"GCF_020382885.2","Scatophagus argus",NA,75038,"Actinopteri","Acanthuriformes","Scatophagidae","Scatophagus","2021-10-13","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",17189422
"GCA_026153275.1","Sciades herzbergii","Pemecou sea catfish",419340,"Actinopteri","Siluriformes","Ariidae","Sciades","2022-11-12","Illumina",2466
"GCA_027576895.1","Sciades mastersi","Master's catfish",591286,"Actinopteri","Siluriformes","Ariidae","Sciades","2023-01-06","Illumina",2202
"GCA_027576175.1","Sciades proops","crucifix sea catfish",419343,"Actinopteri","Siluriformes","Ariidae","Sciades","2023-01-06","Illumina",2721
"GCA_027575605.1","Sciades troschelii","Chili sea catfish",287710,"Actinopteri","Siluriformes","Ariidae","Sciades","2023-01-06","Illumina",2341
"GCA_014183145.1","Sciaenops ocellatus","red drum",76340,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Sciaenops","2020-08-14","Illumina HiSeq; BGI-Seq 500",151930
"GCA_021039105.1","Scomber colias","Atlantic chub mackerel",338315,"Actinopteri","Scombriformes","Scombridae","Scomber","2021-12-03","PacBio Sequel Hifi",3315783
"GCF_027409825.1","Scomber japonicus","chub mackerel",13676,"Actinopteri","Scombriformes","Scombridae","Scomber","2022-12-28","PacBio Sequel II HiFi; Arima Hi-C v2",4898551
"GCF_022379125.1","Scophthalmus maximus","turbot",52904,"Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","2022-02-24","PacBio Sequel",25762658
"GCF_902713615.1","Scyliorhinus canicula","smaller spotted catshark",7830,"Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","2020-12-17",NA,1862211
"GCA_902713615.2","Scyliorhinus canicula","smaller spotted catshark",7830,"Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","2021-01-28",NA,1862211
"GCA_003427355.1","Scyliorhinus torazame","cloudy catshark",75743,"Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","2018-08-02","Illumina HiSeq 1500, Illumina MiSeq",7146
"GCA_916700875.1","Sebastes aleutianus","rougheye rockfish",214485,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-09-30",NA,5849361
"GCA_916700825.1","Sebastes alutus","Pacific ocean perch",72055,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,29842
"GCA_916700955.1","Sebastes atrovirens","kelp rockfish",72056,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,63939
"GCA_916700975.1","Sebastes auriculatus","brown rockfish",72057,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,58160
"GCA_916700905.1","Sebastes aurora","aurora rockfish",72058,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,54974
"GCA_916700865.1","Sebastes babcocki","redbanded rockfish",72059,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,46073
"GCA_916700835.1","Sebastes baramenuke",NA,214491,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,41631
"GCA_916700985.1","Sebastes borealis","shortraker rockfish",394687,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,9548
"GCA_916700855.1","Sebastes carnatus","gopher rockfish",72062,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,37523
"GCA_916700845.1","Sebastes caurinus","copper rockfish",72063,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,33800
"GCA_916700745.1","Sebastes cheni",NA,1738870,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,78191
"GCA_916700915.1","Sebastes chlorostictus","greenspotted rockfish",72064,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,67010
"GCA_916700805.1","Sebastes ciliatus","dusky rockfish",72065,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,38302
"GCA_916700895.1","Sebastes constellatus","starry rockfish",72066,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,67714
"GCA_916700755.1","Sebastes crameri","darkblotched rockfish",72067,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,66819
"GCA_916700725.1","Sebastes dallii","calico rockfish",394690,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,73964
"GCA_916700945.1","Sebastes diaconus","deacon rockfish",2603974,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,78869
"GCA_916700885.1","Sebastes diploproa","splitnose rockfish",72069,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,45585
"GCA_916700925.1","Sebastes elongatus","greenstriped rockfish",72070,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,32065
"GCA_916700965.1","Sebastes ensifer","swordspine rockfish",72072,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,35845
"GCA_916700775.2","Sebastes entomelas","widow rockfish",72073,"Actinopteri","Perciformes","Sebastidae","Sebastes","2022-09-20",NA,7502063
"GCA_916700705.1","Sebastes exsul","buccaneer rockfish",72075,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,44439
"GCA_916700765.1","Sebastes fasciatus","Acadian redfish",394691,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,47978
"GCA_916700785.1","Sebastes flavidus","yellowtain rockfish",72076,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-07",NA,60413
"GCA_916700795.1","Sebastes glaucus",NA,201702,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-07",NA,31093
"GCA_916700735.1","Sebastes goodei","chilipepper",72078,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,26613
"GCA_916700695.1","Sebastes helvomaculatus","rosethorn rockfish",72079,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-12",NA,44384
"GCA_916701215.1","Sebastes hopkinsi","squarespot rockfish",72080,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,73192
"GCA_916701285.1","Sebastes hubbsi",NA,201703,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-07",NA,61026
"GCA_916701085.1","Sebastes inermis","black rockfish",160818,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,74842
"GCA_916701015.1","Sebastes iracundus",NA,214493,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,31449
"GCA_916701335.1","Sebastes itinus","willow rockfish",1344804,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,44916
"GCA_916701295.1","Sebastes jordani","shortbelly rockfish",72081,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,51098
"GCA_916701105.1","Sebastes joyneri",NA,160817,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-07",NA,70641
"GCA_916701135.1","Sebastes kiyomatsui",NA,394692,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-07",NA,47551
"GCA_916701025.1","Sebastes koreanus",NA,290523,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,34321
"GCA_916701195.1","Sebastes levis","cowcod",72083,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,50521
"GCA_916701265.1","Sebastes maliger","quillback rockfish",72084,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,55147
"GCA_916701035.1","Sebastes matsubarae",NA,201704,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,39222
"GCA_916701325.1","Sebastes melanops","black rockfish",72085,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,29157
"GCA_916701165.1","Sebastes melanostomus","blackgill rockfish",72086,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,51225
"GCA_916701205.1","Sebastes mentella","deepwater redfish",394696,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,45706
"GCA_916701275.1","Sebastes miniatus","vermillion rockfish",72087,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-09-30",NA,8557142
"GCA_916701305.1","Sebastes minor",NA,214483,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,45872
"GCA_916701315.1","Sebastes moseri","whitespeckled rockfish",394697,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-07",NA,83069
"GCA_916701245.1","Sebastes mystinus","blue rockfish",72088,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-07",NA,77435
"GCA_916701055.1","Sebastes nebulosus","China rockfish",394698,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,47149
"GCA_000475235.3","Sebastes nigrocinctus","tiger rockfish",72089,"Actinopteri","Perciformes","Sebastidae","Sebastes","2016-12-20","Illumina HiSeq",13471
"GCA_916701345.1","Sebastes nivosus",NA,290526,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,60486
"GCA_900302655.1","Sebastes norvegicus","golden redfish",394699,"Actinopteri","Perciformes","Sebastidae","Sebastes","2018-03-21",NA,9467
"GCA_916701225.1","Sebastes nudus","ogon-murasoi",1617787,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,64957
"GCA_916701095.1","Sebastes oblongus",NA,201705,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,62132
"GCA_916701125.1","Sebastes oculatus","Patagonian redfish",72091,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,62781
"GCA_916701075.1","Sebastes pachycephalus",NA,201706,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-07",NA,67310
"GCA_916701045.1","Sebastes paucispinis","bocaccio",72093,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,48330
"GCA_916701065.2","Sebastes pinniger","canary rockfish",72094,"Actinopteri","Perciformes","Sebastidae","Sebastes","2022-09-20",NA,10082049
"GCA_916701505.1","Sebastes polyspinis","northern rockfish",394702,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,37656
"GCA_916701495.1","Sebastes proriger","redstripe rockfish",394703,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-07",NA,29393
"GCA_916701435.1","Sebastes rastrelliger","grass rockfish",72095,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,87095
"GCA_916701525.1","Sebastes reedi","yellowmouth rockfish",394704,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,84139
"GCA_916701555.1","Sebastes rosaceus","rosy rockfish",72096,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,2984042
"GCA_916701545.1","Sebastes rosenblatti","greenblotched rockfish",72097,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,33796
"GCA_916701515.1","Sebastes ruberrimus","yelloweye rockfish",72098,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,24295
"GCA_916701605.1","Sebastes rubrivinctus","flag rockfish",72099,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,85282
"GCA_916701375.1","Sebastes saxicola","stripetail rockfish",72101,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,57724
"GCA_014673565.1","Sebastes schlegelii","Schlegel's black rockfish",214486,"Actinopteri","Perciformes","Sebastidae","Sebastes","2020-09-21","PacBio",5473395
"GCA_916701475.1","Sebastes scythropus",NA,173978,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-06",NA,60150
"GCA_916701385.1","Sebastes semicinctus","halfbanded rockfish",320568,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,67673
"GCA_916701455.1","Sebastes serriceps","treefish",201707,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,54830
"GCA_916701425.1","Sebastes steindachneri",NA,201708,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,19216
"GCA_916701585.1","Sebastes taczanowskii",NA,201709,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,34860
"GCA_916701625.1","Sebastes thompsoni",NA,105747,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,51203
"GCA_916701465.1","Sebastes trivittatus",NA,214487,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,37664
"GCF_015220745.1","Sebastes umbrosus","honeycomb rockfish",72105,"Actinopteri","Perciformes","Sebastidae","Sebastes","2020-11-03","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",11445908
"GCA_916701445.1","Sebastes variabilis","dusky rockfish",394707,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,48464
"GCA_916701405.1","Sebastes variegatus","harlequin rockfish",72106,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,23909
"GCA_916701615.1","Sebastes vulpes",NA,201710,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,10148
"GCA_916701595.1","Sebastes wilsoni","pygmy rockfish",72107,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-11-13",NA,47037
"GCA_916701415.1","Sebastes zacentrus","sharpchin rockfish",72108,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,32412
"GCA_916701635.1","Sebastes zonatus",NA,214489,"Actinopteri","Perciformes","Sebastidae","Sebastes","2021-10-09",NA,15546
"GCA_916701655.1","Sebastiscus albofasciatus",NA,72109,"Actinopteri","Perciformes","Sebastidae","Sebastiscus","2021-10-09",NA,41071
"GCA_916701665.1","Sebastiscus tertius",NA,1472224,"Actinopteri","Perciformes","Sebastidae","Sebastiscus","2021-11-13",NA,42036
"GCA_916701645.2","Sebastolobus alascanus",NA,72110,"Actinopteri","Perciformes","Sebastidae","Sebastolobus","2022-09-15",NA,2047198
"GCA_916701675.1","Sebastolobus altivelis",NA,8110,"Actinopteri","Perciformes","Sebastidae","Sebastolobus","2021-10-09",NA,29583
"GCA_900303245.1","Selene dorsalis","African moonfish",179366,"Actinopteri","Carangiformes","Carangidae","Selene","2018-03-19",NA,11209
"GCA_022749685.1","Semicossyphus pulcher",NA,241346,"Actinopteri","Eupercaria incertae sedis","Labridae","Semicossyphus","2022-03-29","PacBio Sequel IIe; Dovetails OmniC; Illumina NovaSeq",31948211
"GCF_021018895.1","Seriola aureovittata",NA,2871759,"Actinopteri","Carangiformes","Carangidae","Seriola","2021-12-02","PacBio Sequel",17994190
"GCF_002260705.1","Seriola dumerili","greater amberjack",41447,"Actinopteri","Carangiformes","Carangidae","Seriola","2017-08-03","Hiseq2500; PacBio RSII",249755
"GCA_002217815.1","Seriola quinqueradiata","Japanese amberjack",8161,"Actinopteri","Carangiformes","Carangidae","Seriola","2017-07-05","Hiseq2500, PacBio RSII",872227
"GCA_002994505.1","Seriola rivoliana","Almaco jack",173321,"Actinopteri","Carangiformes","Carangidae","Seriola","2018-03-12","PacBio; Illumina HiSeq",740108
"GCA_903364295.1","Serranus cabrilla","comber",94953,"Actinopteri","Perciformes","Serranidae","Serranus","2020-06-05",NA,21564
"GCA_030347295.1","Setipinna tenuifilis","common hairfin anchovy",762045,"Actinopteri","Clupeiformes","Engraulidae","Setipinna","2023-06-27","PacBio Sequel",1427689
"GCA_029814505.1","Siphamia roseigaster","pinkbreast siphonfish",1431494,"Actinopteri","Kurtiformes","Apogonidae","Siphamia","2023-04-18","Illumina",2882
"GCA_020466265.1","Siphamia tubifer","tuber cardinalfish",1536898,"Actinopteri","Kurtiformes","Apogonidae","Siphamia","2021-10-15","PacBio HiFi",2340513
"GCF_019176455.1","Solea senegalensis","Senegalese sole",28829,"Actinopteri","Pleuronectiformes","Soleidae","Solea","2021-07-09","Oxford Nanopore MinION",1188264
"GCA_958295425.1","Solea solea","common sole",90069,"Actinopteri","Pleuronectiformes","Soleidae","Solea","2023-07-06","PacBio,Arima2",2587297
"GCA_951416345.1","Somateria mollissima","common eider",76058,"Aves","Anseriformes","Anatidae","Somateria","2023-06-27","PACBIO_SMART, ILLUMINA",9245871
"GCA_007760645.1","Sousa chinensis","Indo-pacific humpbacked dolphin",103600,"Mammalia","Cetartiodactyla","Delphinidae","Sousa","2019-07-31","Illumina HiSeq",113766
"GCA_030272975.1","Sparidentex hasta","sobaity seabream",119750,"Actinopteri","Eupercaria incertae sedis","Sparidae","Sparidentex","2023-06-13","BGISEQ-500",69163
"GCF_900880675.1","Sparus aurata","gilthead seabream",8175,"Actinopteri","Eupercaria incertae sedis","Sparidae","Sparus","2019-07-30",NA,2862625
"GCA_900880675.2","Sparus aurata","gilthead seabream",8175,"Actinopteri","Eupercaria incertae sedis","Sparidae","Sparus","2021-04-24",NA,2862625
"GCF_902148855.1","Sphaeramia orbicularis","orbiculate cardinalfish",375764,"Actinopteri","Kurtiformes","Apogonidae","Apogon","2019-07-03",NA,2360121
"GCA_010077935.1","Spheniscus demersus","jackass penguin",92683,"Aves","Sphenisciformes","Spheniscidae","Spheniscus","2020-01-31","BGISEQ",109372
"GCA_027474245.1","Spheniscus humboldti","Humboldt's penguin",9240,"Aves","Sphenisciformes","Spheniscidae","Spheniscus","2022-12-28","PacBio Sequel II HiFi",13936613
"GCA_010076225.1","Spheniscus magellanicus","Magellanic penguin",37081,"Aves","Sphenisciformes","Spheniscidae","Spheniscus","2020-01-31","Illumina HiSeq",101702
"GCA_003264655.1","Spheniscus mendiculus","Galapagos penguin",156760,"Aves","Sphenisciformes","Spheniscidae","Spheniscus","2018-06-25","SOLiD",22339
"GCA_024679065.1","Sphyrna mokarran","great hammerhead",195334,"Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","2022-08-15","Illumina NextSeq; PacBio Sequel",3966553
"GCA_900302685.1","Spondyliosoma cantharus","black seabream",50595,"Actinopteri","Eupercaria incertae sedis","Sparidae","Spondyliosoma","2018-03-21",NA,11633
"GCA_030390025.1","Squalus acanthias","spiny dogfish",7797,"Elasmobranchii","Squaliformes","Squalidae","Squalus","2023-07-03","PacBio Sequel",1715360
"GCA_026260435.1","Squalus suckleyi","Puget Sound dogfish",7798,"Elasmobranchii","Squaliformes","Squalidae","Squalus","2022-11-21","Illumina NovaSeq; PacBio Sequel; Illumina HiSeq",127514
"GCF_000690725.1","Stegastes partitus","bicolor damselfish",144197,"Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Stegastes","2014-05-13","Illumina",43010
"GCF_022316705.1","Stegostoma fasciatum",NA,378071,"Elasmobranchii","Orectolobiformes","Stegostomatidae","Stegostoma","2022-02-17","Illumina HiSeq",56707
"GCA_951394435.1","Stenella coeruleoalba","striped dolphin",9737,"Mammalia","Cetartiodactyla","Delphinidae","Stenella","2023-06-16","PacBio,Arima2",3590204
"GCA_028646385.1","Steno bredanensis","rough-toothed dolphin",46167,"Mammalia","Cetartiodactyla","Delphinidae","Steno","2023-02-16","Illumina NovaSeq 6000",59977
"GCA_013396915.1","Stercorarius parasiticus",NA,54059,"Aves","Charadriiformes","Stercorariidae","Stercorarius","2020-07-10","Illumina HiSeq",107045
"GCA_009819605.1","Sterna hirundo","Common tern",108405,"Aves","Charadriiformes","Laridae","Sterna","2019-12-31","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",22002498
"GCA_900312615.1","Stylephorus chordatus","tube-eye",409996,"Actinopteri","Stylephoriformes","Stylephoridae","Stylephorus","2018-03-20",NA,3373
"GCA_013389905.1","Sula dactylatra","masked booby",56068,"Aves","Pelecaniformes","Sulidae","Sula","2020-07-06","Illumina HiSeq",38906
"GCA_947650265.1","Symphodus melops","corkwing wrasse",171736,"Actinopteri","Eupercaria incertae sedis","Labridae","Symphodus","2022-12-21","PacBio,Arima2",1186940
"GCA_029721515.1","Synanceia verrucosa","stonefish",51996,"Actinopteri","Perciformes","Synanceiidae","Synanceja","2023-04-18","Oxford Nanopore",12009665
"GCA_029718625.1","Synaphobranchus kaupii","Kaup's arrowtooth eel",118154,"Actinopteri","Anguilliformes","Synaphobranchidae","Synaphobranchus","2023-04-14","PacBio Sequel",519789
"GCF_027744825.2","Synchiropus splendidus","mandarinfish",270530,"Actinopteri","Callionymiformes","Callionymidae","Synchiropus","2023-01-13","Pacbio HiFi; Phase Genomics Hi-C",26259131
"GCA_019802595.1","Syngnathoides biaculeatus","alligator pipefish",300417,"Actinopteri","Syngnathiformes","Syngnathidae","Syngnathoides","2021-09-09","PacBio Sequel; Illumina HiSeq",18018000
"GCF_901709675.1","Syngnathus acus","greater pipefish",161584,"Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","2020-07-31",NA,11959915
"GCA_010014945.2","Syngnathus floridae","dusky pipefish",161585,"Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","2022-11-14","Illumina",4199
"GCA_901007895.1","Syngnathus rostellatus","Nilsson's pipefish",161589,"Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","2020-04-15",NA,14947
"GCF_024217435.1","Syngnathus scovelli","Gulf pipefish",161590,"Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","2022-07-12","Pacbio Hi-Fi; Phase Genomics HiC",15551623
"GCA_024217435.4","Syngnathus scovelli","Gulf pipefish",161590,"Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","2022-10-17","Pacbio Hi-Fi; Phase Genomics HiC",15551623
"GCA_901007915.1","Syngnathus typhle","broad-nosed pipefish",161592,"Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","2020-04-15",NA,25809
"GCA_004026145.2","Takifugu bimaculatus",NA,433685,"Actinopteri","Tetraodontiformes","Tetraodontidae","Takifugu","2019-06-21","PacBio; Hi-C; Illumina HiSeq",1312995
"GCF_003711565.1","Takifugu flavidus","sansaifugu",433684,"Actinopteri","Tetraodontiformes","Tetraodontidae","Takifugu","2019-08-16","PacBio Sequel",4357567
"GCA_027382335.1","Takifugu ocellatus",NA,433686,"Actinopteri","Tetraodontiformes","Tetraodontidae","Takifugu","2022-12-27","PacBio SequelI",11546956
"GCF_901000725.2","Takifugu rubripes","torafugu",31033,"Actinopteri","Tetraodontiformes","Tetraodontidae","Takifugu","2019-06-05",NA,3136617
"GCA_901000725.3","Takifugu rubripes","torafugu",31033,"Actinopteri","Tetraodontiformes","Tetraodontidae","Takifugu","2021-04-24",NA,3136617
"GCA_910589615.1","Taurulus bubalis",NA,61643,"Actinopteri","Perciformes","Cottidae","Taurulus","2021-07-07",NA,13037006
"GCA_020745685.1","Tautogolabrus adspersus","cunner",34787,"Actinopteri","Eupercaria incertae sedis","Labridae","Tautogolabrus","2021-11-05","PacBio Sequel II CLR; 10X Gemonics linked reads; Bionano Genomics DLS; Arima Genomics Hi-C v1",7919333
"GCA_015244755.2","Tenualosa ilisha","Hilsa shad",373995,"Actinopteri","Clupeiformes","Clupeidae","Tenualosa","2020-11-05","PacBio; Illumina",2624235
"GCA_028564955.1","Terapon puta","small-scaled terapon",1161363,"Actinopteri","Centrarchiformes","Terapontidae","Terapon","2023-02-09","Illumina",6877
"GCA_013400895.1","Thalassarche chlororhynchos","Atlantic yellow-nosed albatross",54017,"Aves","Procellariiformes","Diomedeidae","Thalassarche","2020-07-10","Illumina HiSeq",23404
"GCA_008086565.1","Thalassoma bifasciatum","bluehead",76338,"Actinopteri","Eupercaria incertae sedis","Labridae","Thalassoma","2019-08-02","Illumina HiSeq",122955
"GCA_023658055.1","Thaleichthys pacificus","eulachon",240832,"Actinopteri","Osmeriformes","Osmeridae","Thaleichthys","2022-06-07","PacBio Sequel",928839
"GCA_009823395.1","Thamnaconus septentrionalis",NA,435163,"Actinopteri","Tetraodontiformes","Monacanthidae","Thamnaconus","2020-01-02","Oxford Nanopore PromethION",22457894
"GCF_914725855.1","Thunnus albacares","yellowfin tuna",8236,"Actinopteri","Scombriformes","Scombridae","Thunnus","2021-09-16",NA,26795544
"GCF_910596095.1","Thunnus maccoyii","southern bluefin tuna",8240,"Actinopteri","Scombriformes","Scombridae","Thunnus","2021-07-07",NA,26803536
"GCA_021601225.1","Thunnus orientalis","Pacific bluefin tuna",8238,"Actinopteri","Scombriformes","Scombridae","Thunnus","2021-12-18","PacBio Sequel; Chromium",4079918
"GCA_003231725.1","Thunnus thynnus","Atlantic bluefin tuna",8237,"Actinopteri","Scombriformes","Scombridae","Thunnus","2018-06-15","Illumina HiSeq",2430
"GCA_900607315.1","Trachinotus ovatus","derbio",173339,"Actinopteri","Carangiformes","Carangidae","Trachinotus","2018-12-02",NA,1846793
"GCA_905171665.2","Trachurus trachurus","Atlantic horse mackerel",36212,"Actinopteri","Carangiformes","Carangidae","Trachurus","2021-11-26",NA,6490592
"GCA_900323305.1","Trachyrincus murrayi","roughnose grenadier",241836,"Actinopteri","Gadiformes","Macrouridae","Trachyrincus","2018-03-26",NA,6231
"GCA_900303215.1","Trachyrincus scabrus","roughsnout grenadier",562814,"Actinopteri","Gadiformes","Macrouridae","Trachyrincus","2018-03-18",NA,3900
"GCF_902827165.1","Trematomus bernacchii","emerald rockcod",40690,"Actinopteri","Perciformes","Nototheniidae","Trematomus","2020-04-15",NA,1402669
"GCA_943593355.1","Trematomus hansoni","striped rockcod",36196,"Actinopteri","Perciformes","Nototheniidae","Trematomus","2022-07-13",NA,8086
"GCA_012861695.1","Trematomus loennbergii","deepwater notothen",40692,"Actinopteri","Perciformes","Nototheniidae","Trematomus","2020-04-27","PacBio Sequel; Hi-C",968532
"GCA_943590805.1","Trematomus scotti","blackfin notothen",40693,"Actinopteri","Perciformes","Nototheniidae","Trematomus","2022-07-13",NA,2259
"GCF_000243295.1","Trichechus manatus latirostris","Florida manatee",127582,"Mammalia","Sirenia","Trichechidae","Trichechus","2012-01-23","Illumina HiSeq",37750
"GCA_016785345.1","Trinectes maculatus","hogchoker",195658,"Actinopteri","Pleuronectiformes","Achiridae","Trinectes","2021-02-01","Illumina HiSeq 4000",103915
